ID,DIM,LacNO,Milk,FCM,305_FCM,%Fat,%Prt,BW,Brd,Cannulated,Gate
5476,177,2,113.2,93,32049,2.4,3.6,1460,HO,,48
5555,177,1,79.7,76,25738,3.2,3.1,1210,HO,1,47
5096,137,4,119.2,100,29322,2.5,3.3,1460,,,46
5479,162,2,115.8,106,35432,3,3.1,1460,HO,,45
5558,203,1,78.5,63,23816,2.3,3.5,1210,HO,1,44
5601,208,1,99.3,91,37294,3,3.3,1210,HO,,43
5580,163,1,90.1,87,34919,3.3,3.2,1210,HO,,42
5320,154,3,117.8,97,34263,2.4,3.1,1460,HO,,41
5294,210,3,97.8,88,27851,2.9,3.1,1460,HO,,40
5421,151,2,90.4,86,33113,3.2,3.3,1460,HO,,39
5333,202,3,82.3,76,27582,3,3.5,1320,HO,,38
5585,153,1,80.4,66,30613,2.4,3,1100,HO,,37
5617,183,1,79.3,82,33237,3.7,3.3,1210,HO,,36
5459,200,2,62.3,79,31016,5.2,3.7,1460,HO,,35
5603,182,1,91.7,90,31764,3.4,2.9,1210,HO,,34
5293,172,3,87.4,93,33833,3.9,3.5,1460,HO,,33
5587,129,1,69.1,78,31627,4.3,3.6,1210,,,32
5578,182,1,56.8,63,26689,4.2,3.7,1210,HO,,31
5611,180,1,75.7,77,30293,3.6,3.3,1210,HO,,30
5563,177,1,94.8,98,33891,3.7,3,1210,HO,,29
5463,210,2,88.7,106,37306,4.7,3.3,1460,HO,,28
5225,155,4,103.9,102,32950,3.4,3.5,1200,HO,,27
5568,203,1,84.7,74,29549,2.7,3.4,1210,HO,,26
5175,192,4,92.9,88,34362,3.2,3,1430,HO,,25
